Date,Ticker,Open,High,Low,Close_Price,Volume,RSI,MACD,Signal_Line,MACD_Hist,SMA_50,SMA_200,Vol_Pattern
02-04-2025,RELIANCE.NS,1242.59,1250.56,1238.95,1246.17,10142590,50.1,9.96,9.48,0.4707,1239.39,1353.85,Expanding
03-04-2025,RELIANCE.NS,1228.15,1246.82,1228.15,1243.73,7434366,49.35,8.23,9.23,-1.0076,1238.25,1352.8,Expanding
04-04-2025,RELIANCE.NS,1236.16,1240.5,1188.4,1199.91,17908652,38.28,3.28,8.04,-4.7623,1236.88,1351.46,Expanding
07-04-2025,RELIANCE.NS,1127.7,1166.59,1110.42,1161.06,22156106,31.53,-3.73,5.69,-9.4183,1234.66,1349.92,Expanding
08-04-2025,RELIANCE.NS,1167.34,1191.84,1158.67,1177.5,19555040,36.62,-7.87,2.98,-10.8459,1233.04,1348.56,Expanding
09-04-2025,RELIANCE.NS,1164.85,1185.07,1163.35,1180.63,10223104,37.58,-10.77,0.23,-10.9991,1231.82,1347.15,Expanding
11-04-2025,RELIANCE.NS,1190.4,1217.79,1190.4,1214.1,11224242,46.79,-10.25,-1.87,-8.3848,1231.62,1346.01,Expanding
15-04-2025,RELIANCE.NS,1246.02,1246.02,1232.18,1235.17,13378535,51.62,-8.05,-3.11,-4.9453,1231.73,1345.03,Expanding
16-04-2025,RELIANCE.NS,1229.19,1235.96,1224.11,1234.37,8248464,51.43,-6.3,-3.74,-2.5527,1231.81,1343.98,Expanding
17-04-2025,RELIANCE.NS,1235.27,1275.11,1222.72,1269.43,15398401,58.66,-2.05,-3.41,1.3523,1232.23,1342.82,Expanding
21-04-2025,RELIANCE.NS,1264.95,1295.72,1261.96,1290.35,10429964,62.27,2.96,-2.13,5.0949,1232.84,1341.67,Expanding
22-04-2025,RELIANCE.NS,1294.83,1298.71,1281.18,1286.06,13051707,61.09,6.52,-0.4,6.9197,1233.37,1340.33,Expanding
23-04-2025,RELIANCE.NS,1291.84,1300.8,1280.29,1294.83,10480888,62.65,9.93,1.66,8.2637,1234.45,1339.06,Expanding
24-04-2025,RELIANCE.NS,1287.26,1299.31,1285.17,1296.42,10468940,62.94,12.61,3.85,8.7595,1234.77,1337.78,Expanding
25-04-2025,RELIANCE.NS,1298.31,1319.93,1282.98,1295.23,14431012,62.54,14.48,5.98,8.4997,1235.22,1336.55,Expanding
28-04-2025,RELIANCE.NS,1334.67,1369.13,1314.95,1363.35,31104496,72.91,21.21,9.02,12.1845,1236.95,1335.65,Expanding
29-04-2025,RELIANCE.NS,1365.55,1405.29,1364.55,1394.13,32538970,76.12,28.7,12.96,15.7372,1239.6,1334.74,Expanding
30-04-2025,RELIANCE.NS,1396.42,1406.78,1363.55,1399.41,25480745,76.63,34.66,17.3,17.3577,1242.62,1333.79,Expanding
02-05-2025,RELIANCE.NS,1408.38,1421.02,1403.49,1414.15,13007841,78.05,40.11,21.86,18.2466,1246.3,1332.97,Expanding
05-05-2025,RELIANCE.NS,1425.31,1433.77,1421.22,1425.61,12685649,79.11,44.83,26.45,18.3789,1250.58,1332.23,Expanding
06-05-2025,RELIANCE.NS,1425.31,1426.3,1404.99,1415.25,14084117,75.56,47.2,30.6,16.5961,1254.66,1331.46,Expanding
07-05-2025,RELIANCE.NS,1415.25,1418.73,1397.12,1400.41,13440169,70.66,47.33,33.95,13.3826,1258.42,1330.54,Expanding
08-05-2025,RELIANCE.NS,1398.51,1415.15,1392.44,1401.4,16106175,70.8,46.98,36.55,10.4209,1262.05,1329.62,Expanding
09-05-2025,RELIANCE.NS,1379.99,1389.25,1369.03,1371.72,13668904,61.59,43.79,38.0,5.7909,1265.07,1328.65,Expanding
12-05-2025,RELIANCE.NS,1394.43,1433.28,1394.43,1430.79,10674081,69.96,45.51,39.5,6.0082,1269.24,1327.93,Expanding
13-05-2025,RELIANCE.NS,1427.8,1441.94,1406.78,1410.07,11407896,64.64,44.69,40.54,4.1471,1272.88,1327.26,Expanding
14-05-2025,RELIANCE.NS,1414.35,1424.21,1409.87,1418.73,5570160,65.81,44.22,41.28,2.9467,1276.78,1326.91,Expanding
15-05-2025,RELIANCE.NS,1419.33,1455.59,1407.08,1448.42,20177211,69.54,45.72,42.17,3.5577,1281.56,1326.77,Expanding
16-05-2025,RELIANCE.NS,1447.42,1455.19,1441.54,1450.61,9036695,69.8,46.55,43.04,3.5095,1286.59,1326.6,Expanding
19-05-2025,RELIANCE.NS,1446.32,1448.81,1432.48,1435.07,6195791,65.5,45.43,43.52,1.9114,1291.24,1326.36,Expanding
20-05-2025,RELIANCE.NS,1432.48,1439.25,1416.14,1418.93,11270560,61.29,42.75,43.37,-0.617,1295.71,1325.97,Expanding
21-05-2025,RELIANCE.NS,1418.24,1430.49,1412.46,1423.51,6136364,62.03,40.53,42.8,-2.2724,1300.85,1325.54,Expanding
22-05-2025,RELIANCE.NS,1415.55,1418.14,1391.34,1403.79,12134466,56.94,36.75,41.59,-4.8396,1305.78,1325.05,Expanding
23-05-2025,RELIANCE.NS,1401.0,1428.1,1401.0,1421.12,6474883,60.05,34.75,40.22,-5.4681,1310.79,1324.68,Expanding
26-05-2025,RELIANCE.NS,1426.3,1435.27,1419.43,1429.09,4842944,61.42,33.43,38.86,-5.4336,1315.27,1324.31,Drying Up
27-05-2025,RELIANCE.NS,1420.43,1431.28,1408.28,1416.44,12640414,58.0,31.0,37.29,-6.2887,1318.71,1323.95,Drying Up
28-05-2025,RELIANCE.NS,1414.45,1416.94,1405.09,1407.28,5944611,55.59,28.02,35.44,-7.4198,1322.18,1323.8,Drying Up
29-05-2025,RELIANCE.NS,1406.48,1414.35,1403.0,1412.16,13771917,56.63,25.75,33.5,-7.7514,1325.58,1323.64,Drying Up
30-05-2025,RELIANCE.NS,1412.36,1424.91,1404.09,1415.25,13788484,57.3,23.92,31.58,-7.6612,1328.84,1323.44,Drying Up
02-06-2025,RELIANCE.NS,1406.48,1411.86,1390.05,1408.08,8098668,55.15,21.65,29.6,-7.9487,1332.14,1323.29,Drying Up
03-06-2025,RELIANCE.NS,1416.64,1420.83,1397.82,1399.91,11252626,52.71,18.97,27.47,-8.5033,1335.46,1322.97,Drying Up
04-06-2025,RELIANCE.NS,1409.07,1420.03,1400.51,1417.84,8126827,57.18,18.08,25.59,-7.5114,1338.98,1322.81,Drying Up
05-06-2025,RELIANCE.NS,1422.32,1448.91,1417.94,1436.66,13716817,61.31,18.68,24.21,-5.5279,1342.43,1322.73,Drying Up
06-06-2025,RELIANCE.NS,1435.27,1445.73,1431.28,1437.76,8182161,61.54,19.03,23.17,-4.1458,1345.76,1322.67,Drying Up
09-06-2025,RELIANCE.NS,1451.2,1451.7,1439.55,1443.04,7885125,62.71,19.5,22.44,-2.9365,1348.68,1322.54,Drying Up
10-06-2025,RELIANCE.NS,1444.23,1448.12,1430.29,1432.78,7913181,58.97,18.84,21.72,-2.8839,1351.73,1322.3,Drying Up
11-06-2025,RELIANCE.NS,1440.05,1462.76,1437.36,1443.14,8195700,61.47,18.92,21.16,-2.2367,1355.23,1322.06,Drying Up
12-06-2025,RELIANCE.NS,1447.72,1451.2,1428.69,1435.87,8828114,58.77,18.2,20.57,-2.3708,1358.49,1321.78,Drying Up
13-06-2025,RELIANCE.NS,1418.34,1429.79,1408.67,1422.22,9757276,53.97,16.33,19.72,-3.3888,1361.53,1321.43,Drying Up
16-06-2025,RELIANCE.NS,1421.22,1436.66,1418.73,1432.08,8458093,56.72,15.47,18.87,-3.3998,1365.22,1321.12,Drying Up
